NAME,START DATE,END DATE,LOCATION,STATION
L’ART DANS LE MÉTRO,2025-11-27,2025-11-27,OFFICE DE TOURISME DE TOULOUSE,Métro ligne A - Station Capitole
MARCHE DE NOËL SUR LES RAMBLAS,2025-11-27,2025-12-12,RAMBLAS,Métro ligne A ou B - Station Jean Jaurès
LANCEMENT DES FESTIVITÉS DE NOËL,2025-11-28,2025-11-28,DIVERS LIEUX,Métro ligne A ou B - Station Jean Jaurès
OPENING NIGHT,2025-11-28,2025-12-02,THÉÂTRE DE LA CITÉ,Métro ligne A et B - Station Capitole ou Jean-Jaurès
CONNEXE,2025-11-28,2025-11-28,THÉÂTRE DES MAZADES,Métro ligne B - Station Minimes Claude Nougaro ou Barrière de Paris
MASCARADES,2025-11-28,2025-11-28,CENTRE CULTUREL SOUPETARD,Métro ligne A - Station Jolimont
MINI MARCHÉ DE CRÉATEURS (AMLILI AMAZIGH FESTIVAL),2025-11-29,2025-11-29,THÉÂTRE DES MAZADES,Métro ligne B - Station Minimes Claude-Nougaro
MARCHE DE NOËL ARTISANAL ET SOLIDAIRE,2025-11-29,2025-12-21,ALLEES JULES GUESDE,Métro ligne B - Station Palais de Justice
ADDIS BLACK MAMBA,2025-11-29,2025-11-29,LE TAQUIN,Métro ligne A station St-Cyprien ou ligne B station Compans Caffarelli
GARENNE,2025-11-29,2025-11-29,COMDT,Métro ligne A - Station Esquirol ou ligne B - Station Carmes
LE TOULOUSE FRIVOLE DE MADAME ROSE,2025-11-30,2026-03-22,PLACE SAINT-GEORGES,Métro ligne A ou B - Station Jean-Jaurès
PETITES HISTOIRES DE QUARTIER : CARMES,2025-11-30,2025-11-30,DEVANT LA FONTAINE,Métro ligne A - Station Esquirol
GRANDES ET PETITES AFFAIRES CRIMINELLES,2025-12-01,2025-12-28,OFFICE DE TOURISME DE TOULOUSE,Métro ligne A - Station Capitole
MONTY ALEXANDER,2025-12-01,2025-12-01,HALLE AUX GRAINS,Métro ligne B station François-Verdier
QUINTETTE EN VARIATIONS,2025-12-01,2025-12-01,AUDITORIUM SAINT PIERRE DES CUISINES,Métro Ligne A - Station Capitole ou Saint-Cyprien République
LE GAI MARIAGE,2025-12-02,2025-12-30,CAFE THEATRE LES 3T,Métro ligne A ou B - Station Jean Jaurès
ANGLE MORT,2025-12-03,2025-12-06,THÉÂTRE LE FIL À PLOMB,Métro ligne B - Station Jeanne d'Arc
DUPLIQUE,2025-12-03,2025-12-05,LA CAVE POÉSIE,Métro ligne A - Station Capitole
AQUAPLANING,2025-12-04,2025-12-06,LE CITRON BLEU,Métro ligne B station Carmes - ligne A station Esquirol
COSE A CASO,2025-12-04,2025-12-04,CENTRE CULTUREL ALBAN-MINVILLE,Métro ligne A - Station Bellefontaine
L'ASCENSEUR,2025-12-04,2025-12-06,THEATRE DE LA VIOLETTE,Métro ligne B - Station Borderouge
NOVECENTO,2025-12-04,2025-12-20,THEATRE DU CHIEN BLANC,Métro ligne A station Marengo SNCF
CONTES ET LÉGENDES,2025-12-05,2026-01-04,MÉDIATHÈQUE JOSÉ CABANIS,Métro ligne A - Station Marengo SNCF
COMMENT DOMESTIQUER LES HUMAINS ?,2025-12-05,2025-12-06,THEATRE SORANO,Métro ligne B - Carmes ou Palais de Justice - Tram ligne T1 et T2 Palais de Justice
SACRÉE SOIRÉE !,2025-12-05,2025-12-05,CENTRE CULTUREL RENAN,Métro ligne B - Station Trois Cocus
THE LULU PROJECT,2025-12-05,2025-12-06,THEATRE DU PAVE,Métro ligne B station Saint-Agne
D'JAL,2025-12-05,2025-12-05,ZENITH TOULOUSE METROPOLE,Tram ligne T1 ou T2 Hippodrome
RYAN BANCROFT / RENAUD CAPUÇON,2025-12-05,2025-12-05,HALLE AUX GRAINS,Métro ligne B station François-Verdier
DALI S'INVITE À TOULOUSE,2025-12-05,2026-02-08,HÔTEL ALBERT 1ER,Métro ligne A - Station Capitole ou métro ligne B - Station Jeanne d'Arc
MARCHÉS DE NOËL DES CRÉATEURS,2025-12-06,2025-12-21,ARTILECT TOULOUSE,Métro ligne A - Station Capitole ou Esquirol
NOËL AUX JACOBINS,2025-12-06,2025-12-07,COUVENT DES JACOBINS,Métro ligne A - Station Capitole
MUSIQUE AU PALAIS,2025-12-06,2025-12-07,PALAIS NIEL,Métro ligne B - Station Palais de Justice
SHOPPING POUR LES FÊTES DE NOËL,2025-12-07,2025-12-28,DIVERS LIEUX,Métro ligne A et B Station Jean-Jaurès
PETITES HISTOIRES DE QUARTIER : OZENNE,2025-12-07,2025-12-07,A LA SORTIE DU METRO,Métro ligne B - Station Carmes
LA BRANDE,2025-12-09,2025-12-13,THEATRE GARONNE,"Métro ligne A, station St Cyprien / République"
NOS ANNÉES,2025-12-10,2025-12-13,LA CAVE POÉSIE,Métro ligne A - Station Capitole
ROBERTO FORÉS VESES - MARIANNE CREBASSA,2025-12-11,2025-12-11,HALLE AUX GRAINS,Métro ligne B station François-Verdier
CORNÉLIUS,2025-12-12,2025-12-12,LE TAQUIN,Métro ligne A station St-Cyprien ou ligne B station Compans Caffarelli
SPECTACLE « TOUTE UNE HISTOIRE… »,2025-12-12,2025-12-12,OFFICE DE TOURISME,Métro ligne A - Station Capitole
JEAN-CHARLES DE CASTELBAJAC - L’IMAGINATION AU POUVOIR,2025-12-12,2026-08-23,"LES ABATTOIRS, MUSÉE - FRAC OCCITANIE TOULOUSE",Métro ligne A - Station Saint-Cyprien République
LA CARTE BLANCHE DE LA COMPAGNIE SYNAPSE,2025-12-13,2025-12-13,THÉÂTRE DE POCHE,Métro ligne A - Station Marengo SNCF
MARIE-FLORE,2025-12-13,2025-12-13,LE METRONUM,Métro ligne B - Station Borderouge
TOULOUSE AU SIÈCLE DES LUMIÈRES,2025-12-14,2026-03-28,PLACE DE LA CATHÉDRALE,Métro ligne B - Station François Verdier ou Carmes
THIBAUT GARCIA ET ANTOINE MORINIÈRE,2025-12-15,2025-12-15,AUDITORIUM SAINT PIERRE DES CUISINES,Métro Ligne A station Capitole
PETITES HISTOIRES DE QUARTIER : SAINT-CYPRIEN,2025-12-16,2025-12-16,DEVANT L'ENTRÉE DU CHÂTEAU D'EAU,Métro ligne A - Station Saint-Cyprien-République
LE CONCERT DE L’HOSTEL DIEU (LES ARTS RENAISSANTS),2025-12-16,2025-12-16,ÉGLISE SAINT-JÉRÔME,Métro ligne A - Station Capitole
LE CHÂTEAU DES CARPATHES,2025-12-17,2025-12-20,THÉÂTRE DE LA CITÉ,Métro ligne A et B - Station Capitole ou Jean-Jaurès
SHAKEEB ABU HAMDAN,2025-12-17,2025-12-17,LE VENT DES SIGNES,Métro ligne A station Saint-Cyprien République
"AU 26, FOYER D'URGENCE",2025-12-17,2025-12-20,THÉÂTRE LE FIL À PLOMB,Métro ligne B - Station Jeanne d'Arc
CACHE-MOI SI TU PEUX,2025-12-17,2025-12-31,CAFE THEATRE LES 3T,Métro ligne A ou B - Station Jean Jaurès
LA MERVEILLEUSE PETITE BOUTIQUE DE NOËL,2025-12-17,2025-12-24,THEATRE DE LA VIOLETTE,Métro ligne B - Station Borderouge
"DON QUICHOTTE, L’HOMME À LA TÂCHE",2025-12-18,2025-12-20,THEATRE GARONNE,"Métro ligne A, station St Cyprien / République"
LE PÈRE KARAMAZOV,2025-12-18,2025-12-19,THÉÂTRE DU PONT NEUF,Métro ligne A - Station Saint-Cyprien République
CHOEUR ORFEON DONOSTIARRA,2025-12-18,2025-12-18,HALLE AUX GRAINS,Métro ligne B station François-Verdier
OLD SCHOOL FUNKY FAMILY - LES 20 ANS !,2025-12-19,2025-12-20,LE TAQUIN,Métro ligne A station St-Cyprien ou ligne B station Compans Caffarelli
ALEX VIZOREK - DEUX DEMI,2025-12-19,2025-12-21,LA COMÉDIE DE TOULOUSE,Métro ligne B Station Jeanne d'Arc
CASSE-NOISETTE,2025-12-19,2025-12-31,OPÉRA NATIONAL DU CAPITOLE,Métro ligne A - Station Capitole
CHAMPIONNATS DE FRANCE DE BEATBOX,2025-12-19,2025-12-20,LE METRONUM,Métro ligne B - Station Borderouge
MARCHÉ DE CRÉATEURS ROSALIE,2025-12-20,2025-12-21,JARDIN DU GRAND ROND,Métro ligne B - Station François-Verdier
LA MAGIE DE NOËL,2025-12-20,2025-12-31,COUVENT DES JACOBINS,Métro ligne A - Station Capitole
VACANCES DE NOËL AU QUAI DES SAVOIRS,2025-12-20,2026-01-03,QUAI DES SAVOIRS,Métro ligne B - Station Palais de Justice ou Carmes
UN DIMANCHE UN QUARTIER : RANGUEIL,2025-12-21,2025-12-21,À LA SORTIE DU MÉTRO RANGUEIL,Métro ligne B - Station Rangueil
TOULOUSE CHRISTMAS GOSPEL,2025-12-21,2025-12-21,CASINO BARRIERE,Métro ligne B - Station Empalot
DE L'ÉPICE À L'HYPOCRAS (SPÉCIAL NOËL),2025-12-23,2025-12-30,COUVENT DES JACOBINS,Métro ligne A - Station Capitole
LE KALINKA FÊTE NOËL,2025-12-24,2025-12-24,LE KALINKA,Métro ligne A - Station Saint-Cyprien République
PARMI LES LANTERNES MAGIQUES,2025-12-26,2025-12-26,MUSEE DES ARTS PRECIEUX PAUL DUPUY,Métro ligne B - Station Carmes
NUIT DU FADO,2025-12-26,2025-12-27,LE CITRON BLEU,Métro ligne B station Carmes - ligne A station Esquirol
LE GRAND BANQUET DE NOËL DU STADE,2025-12-28,2025-12-28,STADIUM DE TOULOUSE,Métro ligne B - Station St-Michel ou Empalot
"TOULOUSE AU BORD DE LA GARONNE, LA FIÈVRE DE L'HYGIÈNE AU XIXE SIÈCLE",2025-12-28,2026-03-15,DEVANT LA BASILIQUE NOTRE-DAME DE LA DAURADE,Métro ligne A ou B - Station Jean-Jaurès
LE BAZAR À TATIE,2025-12-29,2025-12-31,THEATRE DE LA VIOLETTE,Métro ligne B - Station Borderouge
PETIT TOUR DANS LES COURS EN LANGUE DES SIGNES FRANÇAISE,2025-12-30,2025-12-30,OFFICE DE TOURISME DE TOULOUSE,Métro ligne A - Station Capitole
LE KALINKA FÊTE 2026,2025-12-31,2026-01-01,LE KALINKA,Métro ligne A - Station Saint-Cyprien République
CONCERTS DU NOUVEL AN,2025-12-31,2026-01-02,HALLE AUX GRAINS,Métro ligne B station François-Verdier
NOËL SACRÉS ET POPULAIRES,2026-01-02,2026-01-02,EGLISE SAINT AUBIN,Métro ligne A ou B station Jean-Jaurès ou ligne B station François-Verdier
"GOSPEL, LES GRANDS CLASSIQUES",2026-01-03,2026-01-03,EGLISE SAINT AUBIN,Métro ligne A ou B - Station Jean-Jaurès ou ligne B - Station François-Verdier
LES KAPSBER'GIRLS (LES ARTS RENAISSANTS),2026-01-06,2026-01-06,AUDITORIUM SAINT-PIERRE-DES-CUISINES,Métro ligne B - Station Compans Caffarelli
"LA VIE ET LA MORT DE JACQUES CHIRAC, ROI DES FRANÇAIS",2026-01-08,2026-01-10,THEATRE SORANO,Métro ligne B - Carmes ou Palais de Justice - Tram ligne T1 et T2 Palais de Justice
LA CARTE BLANCHE DE LA COMPAGNIE SYNAPSE,2026-01-10,2026-02-14,THÉÂTRE DE POCHE,Métro ligne 1 - Station Marengo SNCF
ORCHESTRE NATIONAL DE FRANCE,2026-01-12,2026-01-12,HALLE AUX GRAINS,Métro ligne B station François-Verdier
ILLUSIONS PERDUES,2026-01-14,2026-01-17,THEATRE SORANO,Métro ligne B - Carmes ou Palais de Justice - Tram ligne T1 et T2 Palais de Justice
MARKUS POSCHNER - CHAD HOOPES,2026-01-16,2026-01-16,HALLE AUX GRAINS,Métro ligne B station François-Verdier
TU DEVRAIS EN PARLER,2026-01-16,2026-01-17,CENTRE CULTUREL DES MINIMES,Métro ligne B - Station Minimes Claude Nougaro
À LA MÉMOIRE D'UN GRAND ARTISTE,2026-01-19,2026-01-19,AUDITORIUM SAINT PIERRE DES CUISINES,Métro Ligne A - Station Capitole ou Saint-Cyprien République
A DAY IN A LIFE,2026-01-22,2026-01-22,CENTRE CULTUREL ALBAN-MINVILLE,Métro ligne A - Station Bellefontaine
ALUCA,2026-01-23,2026-01-23,COMDT,Métro ligne A - Station Esquirol ou ligne B - Station Carmes
LA PASSAGÈRE,2026-01-23,2026-01-29,OPÉRA NATIONAL DU CAPITOLE,Métro ligne A - Station Capitole
MARINA VIOTTI & GABRIEL BIANCO (TOULOUSE GUITARE),2026-01-25,2026-01-25,AUDITORIUM ST-PIERRE-DES-CUISINES,Métro ligne B - Sation Compans Caffarelli
DANIEL LOZAKOVICH – DAVID FRAY,2026-01-27,2026-01-27,HALLE AUX GRAINS,Métro ligne B station François-Verdier
HANDLE WITH CARE,2026-01-31,2026-01-31,THÉÂTRE DES MAZADES,Métro ligne B - Station Minimes Claude Nougaro ou Barrière de Paris
EMILIA HOVING - NELSON GOERNER,2026-01-31,2026-01-31,HALLE AUX GRAINS,Métro ligne B station François-Verdier
"ROLANDO LUNA, CONSTANT DESPRES ET JULIEN MARTINEAU (LES ARTS RENAISSANTS)",2026-02-03,2026-02-03,AUDITORIUM SAINT-PIERRE-DES-CUISINES,Métro ligne B - Station Compans Caffarelli
SIR ANDRAS SCHIFF,2026-02-03,2026-02-03,HALLE AUX GRAINS,Métro ligne B station François-Verdier
CAFÉ ZIMMERMANN (LES ARTS RENAISSANTS),2026-02-03,2026-02-03,AUDITORIUM SAINT-PIERRE-DES-CUISINES,Métro ligne B - Station Compans Caffarelli
TIOU DUO PIANO-VOIX,2026-02-05,2026-02-05,CENTRE CULTUREL ALBAN-MINVILLE,Métro ligne A - Station Bellefontaine
JOSEP PONS - LAURANNE OLIVA,2026-02-07,2026-02-07,HALLE AUX GRAINS,Métro ligne B station François-Verdier
MICHELE SPOTTI,2026-02-12,2026-02-12,HALLE AUX GRAINS,Métro ligne B station François-Verdier
DUO BIBONNE-MELIA,2026-02-14,2026-02-14,COMDT,Métro ligne A - Station Esquirol ou ligne B - Station Carmes
REQUIN LICHE DES ABYSSES,2026-02-14,2026-02-14,CENTRE CULTUREL RENAN,Métro ligne B - Station Trois Cocus
NUIT TRANSFIGURÉE,2026-02-16,2026-02-16,AUDITORIUM SAINT PIERRE DES CUISINES,Métro Ligne A - Station Capitole ou Saint-Cyprien République
MA RÉPUBLIQUE ET MOI,2026-02-18,2026-02-20,THEATRE SORANO,Métro ligne B - Carmes ou Palais de Justice - Tram ligne T1 et T2 Palais de Justice
HOSTES HUMANI GENERIS,2026-02-19,2026-02-19,THÉÂTRE DES MAZADES,Métro ligne B - Station Minimes Claude Nougaro ou Barrière de Paris
LUCIA DI LAMMERMOOR,2026-02-20,2026-03-01,OPÉRA NATIONAL DU CAPITOLE,Métro ligne A - Station Capitole
DANIIL TRIFONOV,2026-02-21,2026-02-21,HALLE AUX GRAINS,Métro ligne B station François-Verdier
UNE NUIT AUX OSCARS,2026-02-26,2026-02-28,HALLE AUX GRAINS,Métro ligne B station François-Verdier
"DEAR JASON, DEAR ANDREW",2026-03-11,2026-03-13,THEATRE SORANO,Métro ligne B - Carmes ou Palais de Justice - Tram ligne T1 et T2 Palais de Justice
TARMO PELTOKOSKI - MAO FUJITA,2026-03-13,2026-03-13,HALLE AUX GRAINS,Métro ligne B station François-Verdier
ORCHESTRE PHILHARMONIQUE DE RADIO FRANCE,2026-03-14,2026-03-14,HALLE AUX GRAINS,Métro ligne B station François-Verdier
CORDES ET LAMES,2026-03-16,2026-03-16,AUDITORIUM SAINT PIERRE DES CUISINES,Métro Ligne A station Capitole
PEDRO,2026-03-18,2026-03-20,THEATRE SORANO,Métro ligne B - Carmes ou Palais de Justice - Tram ligne T1 et T2 Palais de Justice
CARLES TREPAT (TOULOUSE GUITARE),2026-03-20,2026-03-20,SALLE DU SENECHAL,Métro ligne A - Station Capitole
ARMIDE,2026-03-22,2026-03-22,OPÉRA NATIONAL DU CAPITOLE,Métro ligne A - Station Capitole
FUAD IBRAHIMOV - MARTIN FRÖST,2026-03-26,2026-03-26,HALLE AUX GRAINS,Métro ligne B station François-Verdier
SALVATJONAS,2026-03-27,2026-03-27,COMDT,Métro ligne A - Station Esquirol ou ligne B - Station Carmes
INSULA ORCHESTRA - CHOEUR ACCENTUS,2026-03-31,2026-03-31,HALLE AUX GRAINS,Métro ligne B station François-Verdier
DES DEUX CÔTÉS DE L’ATLANTIQUE,2026-03-31,2026-03-31,AUDITORIUM SAINT PIERRE DES CUISINES,Métro Ligne A - Station Capitole ou Saint-Cyprien République
ON NE JOUAIT PAS À LA PÉTANQUE DANS LE GHETTO DE VARSOVIE,2026-03-31,2026-04-02,THEATRE SORANO,Métro ligne B - Carmes ou Palais de Justice - Tram ligne T1 et T2 Palais de Justice
MARTHA ARGERICH – DONG HYEK LIM,2026-03-31,2026-03-31,HALLE AUX GRAINS,Métro ligne B station François-Verdier
TARMO PELTOKOSKI - BEATRICE RANA,2026-04-02,2026-04-02,HALLE AUX GRAINS,Métro ligne B station François-Verdier
FRANK BEERMANN,2026-04-10,2026-04-11,HALLE AUX GRAINS,Métro ligne B station François-Verdier
JEFF MILLS – JEAN-PHI DARY – PRABHU EDOUARD,2026-04-14,2026-04-14,HALLE AUX GRAINS,Métro ligne B station François-Verdier
THOMAS DUNFORD ET THÉOTIME LANGLOIS DE SWARTE (LES ARTS RENAISSANTS),2026-04-17,2026-04-17,ÉGLISE SAINT-JÉRÔME,Métro ligne A - Station Capitole
KAZUKI YAMADA - MARIE-ELISABETH HECKER,2026-04-18,2026-04-18,HALLE AUX GRAINS,Métro ligne B station François-Verdier
SALOMÉ,2026-05-22,2026-05-31,OPÉRA NATIONAL DU CAPITOLE,Métro ligne A - Station Capitole
ORCHESTRE DE CHAMBRE DE LAUSANNE,2026-05-22,2026-05-22,HALLE AUX GRAINS,Métro ligne B station François-Verdier
ROBERTO GONZÀLEZ-MONJAS - STÉPHANE DEGOUT,2026-05-23,2026-05-23,HALLE AUX GRAINS,Métro ligne B station François-Verdier
LES BORÉADES,2026-05-27,2026-05-27,OPÉRA NATIONAL DU CAPITOLE,Métro ligne A - Station Capitole
PRETTY YENDE - GIACOMO SAGRIPANTI,2026-05-28,2026-05-28,HALLE AUX GRAINS,Métro ligne B station François-Verdier
CRISTINA GALIETTO (TOULOUSE GUITARE),2026-05-29,2026-05-29,CHAPELLE DES CARMÉLITES,Métro ligne B - Station Jeanne d'Arc
TARMO PELTOKOSKI - ALEXANDRE KANTOROW,2026-05-30,2026-05-30,HALLE AUX GRAINS,Métro ligne B station François-Verdier
UN SAUT DANS LE BLEU,2026-06-12,2026-06-17,HALLE AUX GRAINS,Métro ligne A - Station Capitole
LE CERCLE DE L'HARMONIE - JÉRÉMIE RHORER - ORFEÓN DONOSTIARRA,2026-06-19,2026-06-19,HALLE AUX GRAINS,Métro ligne B station François-Verdier
CARMEN,2026-06-26,2026-07-05,OPÉRA NATIONAL DU CAPITOLE,Métro ligne A - Station Capitole
